doi,cleaned_feature
10.1109/JSEN.2021.3093074,second order correlation function supported optical sensing particle detection ieee sensor institute electrical electronics engineer ieee
10.1103/PhysRevA.104.023705,subradiance dilute atomic ensemble role pair multiple scattering physical american physical society aps
10.1016/j.biocontrol.2021.104729,impact host plant phylogeny parasitoid host range biological control elsevier bv
10.1127/entomologia/2021/1174,polygyny tuta absoluta may affect sex pheromone based control technique entomologia generalis schweizerbart
10.1109/TNNLS.2021.3132832,self supervised deep learning approach blind denoising waveform coherence enhancement distributed acoustic sensing data ieee transaction neural network learning system institute electrical electronics engineer ieee
10.1109/IMOC43827.2019.9317604,inscription fiber bragg grating fabry perot interferometer mgo doped optical fiber sbmo ieee mtt international microwave optoelectronics conference imoc institute electrical electronics engineer ieee
10.23919/ONDM51796.2021.9492388,minimum disturbance rerouting optimize bandwidth usage international conference optical network design modeling ondm institute electrical electronics engineer ieee
10.1109/TNET.2021.3078581,efficient make break layer reoptimization ieee acm transaction networking institute electrical electronics engineer ieee
10.1109/WIIAT50758.2020.00032,graded belief revision jason rule based approach ieee wic acm international joint conference web intelligence intelligent agent technology wi iat institute electrical electronics engineer ieee
10.1161/STROKEAHA.120.032129,combined omic analyzes cerebral thrombus new molecular approach identify cardioembolic stroke origin stroke ovid technology wolters kluwer health
10.1109/ICASSP39728.2021.9414410,learning sparse generative non parametric supervised autoencoder icassp ieee international conference acoustic speech signal processing icassp institute electrical electronics engineer ieee
10.1103/PhysRevD.104.044035,effect data gap detectability parameter estimation massive black hole binary lisa physical american physical society aps
10.2307/j.ctvndv6wx.15,urban foundation irrigated landscape construction medieval western maghreb mediterranean landscape post antiquity jstor
10.3197/096327120X16033868459502,fact undergoing natural hazard influence people environmental value ecological commitment environmental value white horse press
10.3166/RFG.2020.00490,crise covid nouvelle generation trolling brevet contaminant demasquee revue francaise gestion lavoisier
10.1103/PhysRevFluids.6.094601,investigation property superfluid he turbulence using hot wire signal physical fluid american physical society aps
10.1109/ICDL49984.2021.9515660,formalizing problem solving computational thinking ontology approach ieee international conference development learning icdl institute electrical electronics engineer ieee
10.1103/PhysRevB.104.054303,reconstruction multidimensional nonlinear polarization response pancharatnam berry metasurfaces physical b american physical society aps
10.1109/CBMI50038.2021.9461882,bio inspired visual attention silicon retina based spiking neural network applied pattern classification international conference content based multimedia indexing cbmi institute electrical electronics engineer ieee
10.1049/PBCS077F_ch5,rare earth doped glass glass ceramic integrated optic integrated optic volume modeling material platform fabrication technique institution engineering technology iet
10.1364/OE.430409,optimization metasurfaces geometrical uncertainty using statistical learning optic express optical society
10.4153/S0008414X21000407,wick polynomial non commutative probability group theoretical approach canadian mathematics canadian mathematical society
10.3166/RFG.2020.00486,crise sanitaire technocratie revue francaise gestion lavoisier
10.1029/2020JE006690,depth martian magnetization localized power spectrum analysis geophysical research planet american geophysical union agu
10.1109/ICBC51069.2021.9461085,choice ethereum client private blockchain assessment proof authority perspective ieee international conference blockchain cryptocurrency icbc institute electrical electronics engineer ieee
10.1029/2020JE006730,composition south polar cap mar derived orbital data geophysical research planet american geophysical union agu
10.1109/WIIAT50758.2020.00024,mining rdf data covid scientific literature interesting association rule ieee wic acm international joint conference web intelligence intelligent agent technology wi iat institute electrical electronics engineer ieee
10.7554/eLife.65574,klf integrates circadian timing sugar signaling coordinate hepatic metabolism elife elife science publication ltd
10.1103/PhysRevE.104.035105,geometry catenoidal soap film collapse induced boundary deformation physical e american physical society aps
10.1109/WIIAT50758.2020.00040,multi objective evolutionary approach class disjointness axiom discovery ieee wic acm international joint conference web intelligence intelligent agent technology wi iat institute electrical electronics engineer ieee
10.1364/AO.436236,femtosecond laser induced damage threshold nematic liquid crystal nm applied optic optical society
10.1049/PBCS077G_ch8,nonlinear integrated optic proton exchanged lithium niobate waveguide application classical quantum optic integrated optic volume characterization device application institution engineering technology iet
10.1109/OJAP.2021.3073104,electronically pattern reconfigurable antenna iot application ieee open antenna propagation institute electrical electronics engineer ieee
10.5802/JEP.78,conjugacy class homeomorphisms distortion element group homeomorphisms l ecole polytechnique mathematiques cellule mathdoc cedram
10.1029/2021JG006243,chemistry hyperalkaline spring serpentinizing environment composition free gas new caledonia compared spring worldwide geophysical research biogeosciences american geophysical union agu
10.1038/s41550-021-01475-0,common feedstock late accretion terrestrial planet nature astronomy springer science business medium llc
